Date,Symbol,Indexvalue
03.01.2011,V2TX,23.6239
04.01.2011,V2TX,23.156
05.01.2011,V2TX,23.0796
06.01.2011,V2TX,23.3018
07.01.2011,V2TX,23.9501
10.01.2011,V2TX,25.7194
11.01.2011,V2TX,23.8595
12.01.2011,V2TX,22.2715
13.01.2011,V2TX,21.4741
14.01.2011,V2TX,20.4446
17.01.2011,V2TX,21.1731
18.01.2011,V2TX,20.1918
19.01.2011,V2TX,21.2715
20.01.2011,V2TX,21.1074
21.01.2011,V2TX,19.8027
24.01.2011,V2TX,20.3845
25.01.2011,V2TX,21.5594
26.01.2011,V2TX,21.5269
27.01.2011,V2TX,21.1087
28.01.2011,V2TX,22.1322
31.01.2011,V2TX,22.7339
01.02.2011,V2TX,22.1521
02.02.2011,V2TX,21.6554
03.02.2011,V2TX,22.0919
04.02.2011,V2TX,20.8982
07.02.2011,V2TX,20.3702
08.02.2011,V2TX,20.206
09.02.2011,V2TX,19.7493
10.02.2011,V2TX,19.7522
11.02.2011,V2TX,19.946
14.02.2011,V2TX,20.7408
15.02.2011,V2TX,20.4386
16.02.2011,V2TX,19.1885
17.02.2011,V2TX,19.9957
18.02.2011,V2TX,19.6952
21.02.2011,V2TX,22.1446
22.02.2011,V2TX,23.9321
23.02.2011,V2TX,24.9891
24.02.2011,V2TX,24.9885
25.02.2011,V2TX,23.1032
28.02.2011,V2TX,22.7141
01.03.2011,V2TX,23.82
02.03.2011,V2TX,24.5965
03.03.2011,V2TX,23.9314
04.03.2011,V2TX,23.6358
07.03.2011,V2TX,24.4135
08.03.2011,V2TX,23.4535
09.03.2011,V2TX,23.4775
10.03.2011,V2TX,24.1369
11.03.2011,V2TX,24.7086
14.03.2011,V2TX,26.7431
15.03.2011,V2TX,31.0104
16.03.2011,V2TX,35.2293
17.03.2011,V2TX,30.6133
18.03.2011,V2TX,28.5337
21.03.2011,V2TX,25.2355
22.03.2011,V2TX,24.3914
23.03.2011,V2TX,23.9226
24.03.2011,V2TX,22.1
25.03.2011,V2TX,22.0837
28.03.2011,V2TX,22.4799
29.03.2011,V2TX,22.4978
30.03.2011,V2TX,21.4727
31.03.2011,V2TX,22.08
01.04.2011,V2TX,20.4234
04.04.2011,V2TX,20.6621
05.04.2011,V2TX,20.5154
06.04.2011,V2TX,20.155
07.04.2011,V2TX,21.0214
08.04.2011,V2TX,19.9611
11.04.2011,V2TX,19.98
12.04.2011,V2TX,22.4991
13.04.2011,V2TX,21.1973
14.04.2011,V2TX,20.7375
15.04.2011,V2TX,18.8037
18.04.2011,V2TX,22.7879
19.04.2011,V2TX,20.8171
20.04.2011,V2TX,19.0849
21.04.2011,V2TX,18.9266
26.04.2011,V2TX,19.4866
27.04.2011,V2TX,19.8336
